# Angle	O-O-O	O-Si-O	Si-O-Si	Si-Si-Si
73.69	0.00277	0.00000	0.00000	0.00103
73.91	0.00282	0.00000	0.00000	0.00114
74.14	0.00284	0.00000	0.00000	0.00125
74.36	0.00290	0.00000	0.00000	0.00127
74.59	0.00293	0.00000	0.00000	0.00144
74.81	0.00302	0.00000	0.00000	0.00149
75.04	0.00302	0.00000	0.00000	0.00162
75.26	0.00302	0.00000	0.00000	0.00174
75.49	0.00305	0.00000	0.00000	0.00195
75.71	0.00302	0.00000	0.00000	0.00199
75.94	0.00322	0.00000	0.00000	0.00237
76.16	0.00322	0.00001	0.00000	0.00243
76.39	0.00321	0.00000	0.00000	0.00244
76.61	0.00317	0.00000	0.00000	0.00257
76.84	0.00331	0.00001	0.00000	0.00306
77.06	0.00328	0.00002	0.00000	0.00287
77.29	0.00340	0.00001	0.00000	0.00345
77.51	0.00337	0.00000	0.00000	0.00351
77.74	0.00340	0.00001	0.00000	0.00359
77.96	0.00344	0.00001	0.00000	0.00399
78.19	0.00339	0.00000	0.00000	0.00405
78.41	0.00339	0.00000	0.00000	0.00435
78.64	0.00349	0.00001	0.00000	0.00479
78.86	0.00345	0.00000	0.00000	0.00522
79.09	0.00352	0.00000	0.00000	0.00502
79.31	0.00365	0.00000	0.00000	0.00531
79.54	0.00369	0.00000	0.00000	0.00563
79.76	0.00360	0.00002	0.00000	0.00564
79.99	0.00369	0.00001	0.00000	0.00617
80.21	0.00368	0.00001	0.00000	0.00668
80.44	0.00375	0.00000	0.00000	0.00633
80.66	0.00376	0.00001	0.00000	0.00692
80.89	0.00376	0.00002	0.00000	0.00700
81.11	0.00385	0.00003	0.00000	0.00769
81.34	0.00386	0.00001	0.00000	0.00731
81.56	0.00386	0.00003	0.00000	0.00789
81.79	0.00387	0.00005	0.00000	0.00799
82.01	0.00397	0.00004	0.00000	0.00844
82.24	0.00380	0.00003	0.00000	0.00870
82.46	0.00395	0.00007	0.00000	0.00905
82.69	0.00399	0.00004	0.00003	0.00909
82.91	0.00387	0.00011	0.00000	0.00971
83.14	0.00392	0.00006	0.00001	0.00961
83.36	0.00408	0.00012	0.00001	0.01008
83.59	0.00401	0.00012	0.00000	0.01049
83.81	0.00398	0.00010	0.00001	0.01066
84.04	0.00403	0.00016	0.00000	0.01081
84.26	0.00413	0.00020	0.00000	0.01078
84.49	0.00414	0.00010	0.00003	0.01116
84.71	0.00394	0.00015	0.00000	0.01180
84.94	0.00407	0.00021	0.00001	0.01185
85.16	0.00416	0.00019	0.00004	0.01230
85.39	0.00411	0.00018	0.00003	0.01265
85.61	0.00408	0.00020	0.00001	0.01294
85.84	0.00415	0.00022	0.00001	0.01320
