# q	O-Si	O-O	Si-Si	total
2.67706	0.25314	0.25314	0.25314	0.98534
2.69519	0.31402	0.31402	0.31402	1.22231
2.71332	0.28164	0.28164	0.28164	1.09627
2.71931	0.34434	0.34434	0.34434	1.34035
2.73127	0.38254	0.38254	0.38254	1.48903
2.74317	0.36684	0.36684	0.36684	1.42791
2.74911	0.37289	0.37289	0.37289	1.45147
2.75502	0.46161	0.46161	0.46161	1.79679
2.76093	0.38251	0.38251	0.38251	1.48891
2.76682	0.35067	0.35067	0.35067	1.36496
2.78440	0.35208	0.35208	0.35208	1.37048
2.80192	0.50612	0.50612	0.50612	1.97005
2.81352	0.32055	0.32055	0.32055	1.24774
2.82507	0.35220	0.35220	0.35220	1.37095
2.84230	0.39516	0.39516	0.39516	1.53817
2.85376	0.49859	0.49859	0.49859	1.94077
2.85946	0.27906	0.27906	0.27906	1.08622
2.87648	0.42885	0.42885	0.42885	1.66929
2.89343	0.23633	0.23633	0.23633	0.91991
2.89906	0.50527	0.50527	0.50527	1.96674
2.90467	0.54310	0.54310	0.54310	2.11400
2.91586	0.54132	0.54132	0.54132	2.10708
2.92701	0.45548	0.45548	0.45548	1.77296
2.93258	0.58404	0.58404	0.58404	2.27338
2.93812	0.41594	0.41594	0.41594	1.61904
2.94919	0.42889	0.42889	0.42889	1.66944
2.95471	0.47083	0.47083	0.47083	1.83270
2.96569	0.39502	0.39502	0.39502	1.53761
2.97668	0.48143	0.48143	0.48143	1.87395
2.98214	0.25920	0.25920	0.25920	1.00894
2.98760	0.35385	0.35385	0.35385	1.37735
2.99304	0.39502	0.39502	0.39502	1.53761
3.00391	0.38172	0.38172	0.38172	1.48583
3.00933	0.42458	0.42458	0.42458	1.65269
3.01473	0.42953	0.42953	0.42953	1.67194
3.02552	0.37071	0.37071	0.37071	1.44299
3.03090	0.42994	0.42994	0.42994	1.67353
3.03627	0.47085	0.47085	0.47085	1.83277
3.05230	0.48515	0.48515	0.48515	1.88846
3.06298	0.41737	0.41737	0.41737	1.62462
3.06828	0.24406	0.24406	0.24406	0.95001
3.07359	0.42468	0.42468	0.42468	1.65304
3.07888	0.51419	0.51419	0.51419	2.00149
3.08945	0.39266	0.39266	0.39266	1.52841
3.09997	0.35527	0.35527	0.35527	1.38288
3.11046	0.44578	0.44578	0.44578	1.73517
3.11570	0.38520	0.38520	0.38520	1.49937
3.12092	0.47655	0.47655	0.47655	1.85495
3.13652	0.49147	0.49147	0.49147	1.91302
3.14691	0.30572	0.30572	0.30572	1.19000
3.15208	0.66682	0.66682	0.66682	2.59557
3.15724	0.44651	0.44651	0.44651	1.73802
3.16239	0.32517	0.32517	0.32517	1.26572
3.16754	0.54730	0.54730	0.54730	2.13035
3.17268	0.33537	0.33537	0.33537	1.30541
3.18803	0.41959	0.41959	0.41959	1.63323
3.20333	0.44835	0.44835	0.44835	1.74518
3.20842	0.33237	0.33237	0.33237	1.29374
3.21854	0.36955	0.36955	0.36955	1.43848
3.23370	0.43283	0.43283	0.43283	1.68478
3.23873	0.22195	0.22195	0.22195	0.86392
3.24376	0.37271	0.37271	0.37271	1.45076
3.24878	0.44585	0.44585	0.44585	1.73548
3.25378	0.48604	0.48604	0.48604	1.89190
3.26378	0.49343	0.49343	0.49343	1.92068
3.26877	0.49241	0.49241	0.49241	1.91671
3.27374	0.41833	0.41833	0.41833	1.62833
3.28368	0.46092	0.46092	0.46092	1.79411
3.28864	0.39254	0.39254	0.39254	1.52797
3.28864	0.45752	0.45752	0.45752	1.78091
3.29852	0.63955	0.63955	0.63955	2.48945
3.31331	0.35744	0.35744	0.35744	1.39134
3.32313	0.48258	0.48258	0.48258	1.87842
3.32803	0.48972	0.48972	0.48972	1.90625
3.33291	0.46061	0.46061	0.46061	1.79293
3.33780	0.44433	0.44433	0.44433	1.72957
3.34267	0.42919	0.42919	0.42919	1.67062
3.35240	0.41292	0.41292	0.41292	1.60727
3.35726	0.27606	0.27606	0.27606	1.07455
3.36211	0.37998	0.37998	0.37998	1.47905
3.36695	0.33405	0.33405	0.33405	1.30028
3.37660	0.35334	0.35334	0.35334	1.37535
3.38625	0.40375	0.40375	0.40375	1.57158
3.39105	0.45003	0.45003	0.45003	1.75173
3.39585	0.46211	0.46211	0.46211	1.79876
3.40064	0.30939	0.30939	0.30939	1.20428
3.40543	0.25001	0.25001	0.25001	0.97318
3.41021	0.30190	0.30190	0.30190	1.17514
3.41975	0.37578	0.37578	0.37578	1.46273
3.42926	0.56267	0.56267	0.56267	2.19019
3.43401	0.30433	0.30433	0.30433	1.18459
3.43875	0.40422	0.40422	0.40422	1.57342
3.44348	0.54625	0.54625	0.54625	2.12627
3.45292	0.53828	0.53828	0.53828	2.09524
3.46705	0.41567	0.41567	0.41567	1.61800
3.47175	0.47963	0.47963	0.47963	1.86696
3.47643	0.38712	0.38712	0.38712	1.50687
3.48112	0.29784	0.29784	0.29784	1.15933
3.48579	0.41550	0.41550	0.41550	1.61733
3.49977	0.35742	0.35742	0.35742	1.39127
3.50908	0.30095	0.30095	0.30095	1.17144
3.51372	0.34637	0.34637	0.34637	1.34824
3.52759	0.29456	0.29456	0.29456	1.14658
3.54142	0.26320	0.26320	0.26320	1.02449
3.55061	0.48326	0.48326	0.48326	1.88108
3.55519	0.32759	0.32759	0.32759	1.27515
3.55977	0.41253	0.41253	0.41253	1.60576
3.56891	0.28861	0.28861	0.28861	1.12341
3.57802	0.34039	0.34039	0.34039	1.32495
3.58258	0.45441	0.45441	0.45441	1.76880
3.58712	0.25793	0.25793	0.25793	1.00400
3.59166	0.45571	0.45571	0.45571	1.77384
3.60071	0.32559	0.32559	0.32559	1.26735
3.60975	0.50210	0.50210	0.50210	1.95440
3.61426	0.22838	0.22838	0.22838	0.88896
3.61877	0.39264	0.39264	0.39264	1.52836
3.62326	0.45072	0.45072	0.45072	1.75444
3.63224	0.35666	0.35666	0.35666	1.38831
3.63672	0.51843	0.51843	0.51843	2.01800
3.64120	0.41438	0.41438	0.41438	1.61297
3.64567	0.41266	0.41266	0.41266	1.60626
3.65013	0.28410	0.28410	0.28410	1.10585
3.65905	0.47145	0.47145	0.47145	1.83511
3.66350	0.36483	0.36483	0.36483	1.42008
3.67237	0.36620	0.36620	0.36620	1.42543
3.68566	0.26965	0.26965	0.26965	1.04962
3.69008	0.18315	0.18315	0.18315	0.71291
3.69449	0.44210	0.44210	0.44210	1.72088
3.69890	0.39769	0.39769	0.39769	1.54802
3.70329	0.50433	0.50433	0.50433	1.96309
3.71208	0.46719	0.46719	0.46719	1.81854
3.72084	0.49665	0.49665	0.49665	1.93321
3.72959	0.41461	0.41461	0.41461	1.61388
3.74266	0.33634	0.33634	0.33634	1.30919
3.75136	0.37858	0.37858	0.37858	1.47360
3.75570	0.23911	0.23911	0.23911	0.93074
3.76437	0.50827	0.50827	0.50827	1.97842
3.77301	0.39121	0.39121	0.39121	1.52278
3.78593	0.32832	0.32832	0.32832	1.27799
3.79453	0.31162	0.31162	0.31162	1.21297
3.79882	0.33836	0.33836	0.33836	1.31706
3.81166	0.35430	0.35430	0.35430	1.37911
3.82446	0.38874	0.38874	0.38874	1.51315
3.83297	0.42388	0.42388	0.42388	1.64994
3.84146	0.40683	0.40683	0.40683	1.58357
3.84993	0.46547	0.46547	0.46547	1.81185
3.85416	0.27783	0.27783	0.27783	1.08144
3.85838	0.38671	0.38671	0.38671	1.50525
3.86682	0.34646	0.34646	0.34646	1.34861
3.87942	0.35412	0.35412	0.35412	1.37839
3.89201	0.37300	0.37300	0.37300	1.45190
3.89619	0.27401	0.27401	0.27401	1.06660
3.90037	0.46772	0.46772	0.46772	1.82059
3.90871	0.43506	0.43506	0.43506	1.69347
3.91704	0.45441	0.45441	0.45441	1.76879
3.92119	0.27865	0.27865	0.27865	1.08464
3.92534	0.50852	0.50852	0.50852	1.97940
3.93363	0.32354	0.32354	0.32354	1.25939
3.95014	0.41973	0.41973	0.41973	1.63381
3.96251	0.37173	0.37173	0.37173	1.44694
3.96662	0.34528	0.34528	0.34528	1.34399
3.97073	0.27028	0.27028	0.27028	1.05207
3.97483	0.44161	0.44161	0.44161	1.71894
3.97892	0.47186	0.47186	0.47186	1.83670
3.98301	0.45903	0.45903	0.45903	1.78678
3.98710	0.42968	0.42968	0.42968	1.67253
3.99118	0.35059	0.35059	0.35059	1.36467
3.99934	0.33386	0.33386	0.33386	1.29953
4.01153	0.42662	0.42662	0.42662	1.66061
4.02370	0.40491	0.40491	0.40491	1.57612
4.02775	0.36364	0.36364	0.36364	1.41544
4.03179	0.32885	0.32885	0.32885	1.28006
4.03986	0.40632	0.40632	0.40632	1.58158
4.04389	0.47193	0.47193	0.47193	1.83698
4.05193	0.44758	0.44758	0.44758	1.74220
4.06398	0.52842	0.52842	0.52842	2.05686
4.07598	0.41832	0.41832	0.41832	1.62830
4.08795	0.38046	0.38046	0.38046	1.48095
4.09591	0.47286	0.47286	0.47286	1.84059
4.09989	0.43224	0.43224	0.43224	1.68249
4.10386	0.36792	0.36792	0.36792	1.43214
4.11179	0.37975	0.37975	0.37975	1.47819
4.11575	0.28449	0.28449	0.28449	1.10736
4.11970	0.53318	0.53318	0.53318	2.07541
4.12760	0.42429	0.42429	0.42429	1.65153
4.13942	0.47610	0.47610	0.47610	1.85322
4.15121	0.37804	0.37804	0.37804	1.47151
4.15514	0.29424	0.29424	0.29424	1.14531
4.15905	0.51374	0.51374	0.51374	1.99971
4.16688	0.40963	0.40963	0.40963	1.59449
4.17079	0.36286	0.36286	0.36286	1.41244
4.17469	0.26080	0.26080	0.26080	1.01517
4.18248	0.51289	0.51289	0.51289	1.99641
4.19027	0.46623	0.46623	0.46623	1.81478
4.20191	0.43963	0.43963	0.43963	1.71126
4.21352	0.49884	0.49884	0.49884	1.94171
4.21739	0.52144	0.52144	0.52144	2.02972
4.22125	0.64087	0.64087	0.64087	2.49459
4.22896	0.46391	0.46391	0.46391	1.80576
4.23665	0.43690	0.43690	0.43690	1.70063
4.24434	0.43232	0.43232	0.43232	1.68280
4.25200	0.52459	0.52459	0.52459	2.04196
4.25584	0.32229	0.32229	0.32229	1.25451
4.26348	0.53665	0.53665	0.53665	2.08889
4.27493	0.49391	0.49391	0.49391	1.92254
4.27874	0.44542	0.44542	0.44542	1.73377
4.28254	0.46730	0.46730	0.46730	1.81895
4.29014	0.45469	0.45469	0.45469	1.76986
4.30151	0.57788	0.57788	0.57788	2.24940
4.30908	0.44187	0.44187	0.44187	1.71996
4.31286	0.52207	0.52207	0.52207	2.03215
4.31664	0.57142	0.57142	0.57142	2.22423
4.32417	0.44328	0.44328	0.44328	1.72544
4.33170	0.27729	0.27729	0.27729	1.07933
4.33546	0.50546	0.50546	0.50546	1.96750
4.33922	0.42691	0.42691	0.42691	1.66175
4.34297	0.35374	0.35374	0.35374	1.37693
4.34672	0.36211	0.36211	0.36211	1.40952
4.35046	0.43915	0.43915	0.43915	1.70940
4.35421	0.35325	0.35325	0.35325	1.37501
4.35794	0.46119	0.46119	0.46119	1.79519
4.36541	0.38143	0.38143	0.38143	1.48473
4.37287	0.57600	0.57600	0.57600	2.24206
4.37659	0.59419	0.59419	0.59419	2.31286
4.38402	0.46051	0.46051	0.46051	1.79255
4.39145	0.48024	0.48024	0.48024	1.86933
4.39516	0.50133	0.50133	0.50133	1.95141
4.40256	0.54251	0.54251	0.54251	2.11169
4.40996	0.49877	0.49877	0.49877	1.94146
4.41365	0.38856	0.38856	0.38856	1.51245
4.41734	0.43531	0.43531	0.43531	1.69445
4.42471	0.61109	0.61109	0.61109	2.37866
4.42839	0.36606	0.36606	0.36606	1.42488
4.43206	0.41160	0.41160	0.41160	1.60216
4.43574	0.73902	0.73902	0.73902	2.87664
4.44307	0.53055	0.53055	0.53055	2.06516
4.45406	0.62506	0.62506	0.62506	2.43302
4.46137	0.48081	0.48081	0.48081	1.87154
4.46502	0.51447	0.51447	0.51447	2.00257
4.46866	0.61971	0.61971	0.61971	2.41223
4.47231	0.80565	0.80565	0.80565	3.13598
4.47595	0.41762	0.41762	0.41762	1.62559
4.47958	0.47396	0.47396	0.47396	1.84490
4.48322	0.29299	0.29299	0.29299	1.14044
4.48685	0.40137	0.40137	0.40137	1.56234
4.49048	0.44204	0.44204	0.44204	1.72064
4.49411	0.65986	0.65986	0.65986	2.56849
4.50134	0.59908	0.59908	0.59908	2.33189
4.51219	0.74140	0.74140	0.74140	2.88588
4.51940	0.46473	0.46473	0.46473	1.80897
4.52301	0.42735	0.42735	0.42735	1.66344
4.52660	0.53400	0.53400	0.53400	2.07860
4.53020	0.65822	0.65822	0.65822	2.56213
4.53738	0.65024	0.65024	0.65024	2.53105
4.54814	0.64048	0.64048	0.64048	2.49305
4.55172	0.60797	0.60797	0.60797	2.36650
4.55887	0.50015	0.50015	0.50015	1.94682
4.56958	0.48116	0.48116	0.48116	1.87292
4.57314	0.52073	0.52073	0.52073	2.02695
4.57670	0.73905	0.73905	0.73905	2.87675
4.58382	0.52521	0.52521	0.52521	2.04438
4.58737	0.63038	0.63038	0.63038	2.45375
4.59092	0.35111	0.35111	0.35111	1.36671
4.59446	1.08577	1.08577	1.08577	4.22634
4.59801	0.51519	0.51519	0.51519	2.00537
4.60155	0.95482	0.95482	0.95482	3.71662
4.60155	0.53896	0.53896	0.53896	2.09789
4.60509	0.38693	0.38693	0.38693	1.50610
4.60862	0.31387	0.31387	0.31387	1.22172
4.60862	0.45377	0.45377	0.45377	1.76630
4.61568	0.62585	0.62585	0.62585	2.43613
4.62274	0.47752	0.47752	0.47752	1.85873
4.62626	0.61658	0.61658	0.61658	2.40001
4.62978	0.52626	0.52626	0.52626	2.04846
4.62978	0.72493	0.72493	0.72493	2.82179
4.63330	0.66438	0.66438	0.66438	2.58610
4.64032	0.58868	0.58868	0.58868	2.29144
4.64383	0.69808	0.69808	0.69808	2.71728
4.64734	0.68306	0.68306	0.68306	2.65879
4.65084	0.47849	0.47849	0.47849	1.86253
4.65084	0.70590	0.70590	0.70590	2.74771
4.65434	0.69169	0.69169	0.69169	2.69240
4.65784	0.55503	0.55503	0.55503	2.16044
4.66133	0.48877	0.48877	0.48877	1.90253
4.66483	0.51213	0.51213	0.51213	1.99348
4.67180	0.64331	0.64331	0.64331	2.50408
4.68225	0.73344	0.73344	0.73344	2.85490
4.68573	0.66191	0.66191	0.66191	2.57649
4.68920	0.61091	0.61091	0.61091	2.37795
4.69615	0.59442	0.59442	0.59442	2.31376
4.69961	0.70742	0.70742	0.70742	2.75364
4.70308	0.50912	0.50912	0.50912	1.98174
4.71000	0.59622	0.59622	0.59622	2.32077
4.71346	0.67199	0.67199	0.67199	2.61570
4.71691	0.73284	0.73284	0.73284	2.85255
4.72036	0.77741	0.77741	0.77741	3.02606
4.72725	0.59748	0.59748	0.59748	2.32567
4.73415	0.57757	0.57757	0.57757	2.24819
4.73758	0.60884	0.60884	0.60884	2.36989
4.74102	0.90949	0.90949	0.90949	3.54016
4.74445	0.72693	0.72693	0.72693	2.82957
4.75132	0.59735	0.59735	0.59735	2.32519
4.76159	0.53246	0.53246	0.53246	2.07258
4.76843	0.52734	0.52734	0.52734	2.05265
4.77184	0.60670	0.60670	0.60670	2.36158
4.77525	0.66207	0.66207	0.66207	2.57711
4.78207	0.71617	0.71617	0.71617	2.78768
4.79228	0.32268	0.32268	0.32268	1.25603
4.79907	0.69223	0.69223	0.69223	2.69448
4.80246	0.75988	0.75988	0.75988	2.95781
4.80246	0.66500	0.66500	0.66500	2.58851
4.80585	0.79101	0.79101	0.79101	3.07899
4.81263	0.69597	0.69597	0.69597	2.70907
4.81601	0.64872	0.64872	0.64872	2.52512
4.81939	0.79640	0.79640	0.79640	3.09999
4.82614	0.64870	0.64870	0.64870	2.52505
4.82952	0.66310	0.66310	0.66310	2.58111
4.82952	0.43876	0.43876	0.43876	1.70786
4.83625	0.54816	0.54816	0.54816	2.13370
4.84299	0.61628	0.61628	0.61628	2.39886
4.84635	0.76533	0.76533	0.76533	2.97905
4.84971	0.66831	0.66831	0.66831	2.60138
4.84971	0.52112	0.52112	0.52112	2.02843
4.85307	0.74594	0.74594	0.74594	2.90357
4.85642	0.47085	0.47085	0.47085	1.83276
4.85978	0.60218	0.60218	0.60218	2.34397
4.86313	0.43180	0.43180	0.43180	1.68077
4.86313	0.53416	0.53416	0.53416	2.07919
4.86647	0.47822	0.47822	0.47822	1.86146
4.87316	0.85956	0.85956	0.85956	3.34582
4.87651	0.76843	0.76843	0.76843	2.99111
4.87984	0.52794	0.52794	0.52794	2.05500
4.89317	0.75117	0.75117	0.75117	2.92392
4.90315	0.57584	0.57584	0.57584	2.24146
4.90647	0.66502	0.66502	0.66502	2.58857
4.91311	0.79325	0.79325	0.79325	3.08770
4.91642	0.70539	0.70539	0.70539	2.74573
4.91973	0.70260	0.70260	0.70260	2.73485
4.92635	0.82054	0.82054	0.82054	3.19393
4.93296	0.79204	0.79204	0.79204	3.08300
4.93626	0.79775	0.79775	0.79775	3.10524
4.94285	0.76516	0.76516	0.76516	2.97835
4.94944	0.60432	0.60432	0.60432	2.35231
4.95273	0.50222	0.50222	0.50222	1.95487
4.95602	0.68423	0.68423	0.68423	2.66335
4.95930	0.73239	0.73239	0.73239	2.85080
4.96587	0.74062	0.74062	0.74062	2.88283
4.96915	0.80266	0.80266	0.80266	3.12433
4.97570	0.76920	0.76920	0.76920	2.99409
4.98551	0.74422	0.74422	0.74422	2.89688
4.99530	0.76006	0.76006	0.76006	2.95851
5.00507	1.04201	1.04201	1.04201	4.05599
5.00833	0.89477	0.89477	0.89477	3.48289
5.01158	1.06037	1.06037	1.06037	4.12747
5.01807	0.75465	0.75465	0.75465	2.93746
5.02132	1.00820	1.00820	1.00820	3.92438
5.02456	0.80914	0.80914	0.80914	3.14955
5.02780	0.76202	0.76202	0.76202	2.96614
5.03104	0.44769	0.44769	0.44769	1.74262
5.03428	0.81247	0.81247	0.81247	3.16251
5.03751	0.79095	0.79095	0.79095	3.07875
5.04074	0.75067	0.75067	0.75067	2.92199
5.04720	0.73954	0.73954	0.73954	2.87864
5.05365	0.90379	0.90379	0.90379	3.51799
5.05687	0.94576	0.94576	0.94576	3.68134
5.06009	0.90138	0.90138	0.90138	3.50861
5.06331	0.87143	0.87143	0.87143	3.39201
5.06974	0.72430	0.72430	0.72430	2.81933
5.07295	0.86908	0.86908	0.86908	3.38288
5.07616	0.90568	0.90568	0.90568	3.52534
5.07937	0.76783	0.76783	0.76783	2.98875
5.08258	0.98631	0.98631	0.98631	3.83919
5.08578	0.87405	0.87405	0.87405	3.40222
5.08898	0.93815	0.93815	0.93815	3.65172
5.09218	0.76810	0.76810	0.76810	2.98983
5.09857	0.80805	0.80805	0.80805	3.14534
5.10496	0.45376	0.45376	0.45376	1.76626
5.10815	1.12912	1.12912	1.12912	4.39510
5.11452	0.92110	0.92110	0.92110	3.58538
5.11771	1.07038	1.07038	1.07038	4.16645
5.12089	0.73793	0.73793	0.73793	2.87236
5.12725	0.80124	0.80124	0.80124	3.11882
5.13042	0.75300	0.75300	0.75300	2.93105
5.13359	0.65649	0.65649	0.65649	2.55539
5.13677	0.53560	0.53560	0.53560	2.08481
5.13994	0.73375	0.73375	0.73375	2.85610
5.14311	0.76627	0.76627	0.76627	2.98269
5.14943	0.93470	0.93470	0.93470	3.63830
5.15576	0.64982	0.64982	0.64982	2.52939
5.15891	0.63124	0.63124	0.63124	2.45708
5.16523	0.85310	0.85310	0.85310	3.32067
5.16838	0.77265	0.77265	0.77265	3.00754
5.17153	1.05704	1.05704	1.05704	4.11449
5.17468	0.68269	0.68269	0.68269	2.65735
5.18097	0.96396	0.96396	0.96396	3.75219
5.18725	0.75970	0.75970	0.75970	2.95711
5.19039	0.72374	0.72374	0.72374	2.81716
5.19979	0.88962	0.88962	0.88962	3.46283
5.20606	0.76614	0.76614	0.76614	2.98217
5.20919	1.06471	1.06471	1.06471	4.14437
5.21231	0.66286	0.66286	0.66286	2.58017
5.21544	0.85799	0.85799	0.85799	3.33971
5.22168	0.91887	0.91887	0.91887	3.57668
5.22480	0.77761	0.77761	0.77761	3.02684
5.22791	0.81502	0.81502	0.81502	3.17246
5.23414	0.90612	0.90612	0.90612	3.52707
5.23725	0.85037	0.85037	0.85037	3.31004
5.24036	0.95078	0.95078	0.95078	3.70091
5.24347	0.74103	0.74103	0.74103	2.88444
5.24967	0.90373	0.90373	0.90373	3.51774
5.25898	0.93154	0.93154	0.93154	3.62599
5.26207	0.75736	0.75736	0.75736	2.94801
5.26517	0.94022	0.94022	0.94022	3.65979
5.26826	0.77037	0.77037	0.77037	2.99865
5.27135	0.80038	0.80038	0.80038	3.11548
5.27753	0.92274	0.92274	0.92274	3.59173
5.28061	0.96702	0.96702	0.96702	3.76410
5.28369	0.46701	0.46701	0.46701	1.81784
5.28678	0.81915	0.81915	0.81915	3.18853
5.28986	0.80036	0.80036	0.80036	3.11537
5.29294	0.60446	0.60446	0.60446	2.35284
5.29908	0.97863	0.97863	0.97863	3.80930
5.30830	0.89500	0.89500	0.89500	3.48379
5.31137	0.85087	0.85087	0.85087	3.31201
5.31443	0.78691	0.78691	0.78691	3.06302
5.31750	0.64155	0.64155	0.64155	2.49723
5.32056	0.90347	0.90347	0.90347	3.51672
5.32362	0.48171	0.48171	0.48171	1.87504
5.32668	0.54644	0.54644	0.54644	2.12700
5.32974	0.62308	0.62308	0.62308	2.42534
5.33279	0.91150	0.91150	0.91150	3.54800
